School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
Kansas,Big 12,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,17,22,19,22,21,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,24,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,23,21,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,13,12,18,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,17,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,25,,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,19,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,15,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's (NY),Big East,14,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,SEC,16,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,Big East,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,ACC,22,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,25,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,1,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,5,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,5,3,5,4,,4,4,4,4,4,4,4,4,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,
UConn,Big East,4,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,4,2,2,2,,2,2,2,3,3,3,3,3,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,,,,,,,
Notre Dame,Big East,2,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,2,4,3,3,,3,3,3,2,2,2,2,2,4,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,,,,,,,,,,,,,,,,,,,,
Maryland,ACC,10,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,10,8,6,5,,5,5,5,5,8,8,9,8,8,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,,,,,,,,,,,,,,,,,,,,
Duke,ACC,8,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,8,7,7,6,,9,8,7,7,5,5,5,5,5,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,5,,,,,,,,,,,,,,,,,,,,
Delaware,CAA,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,24,22,,19,19,21,20,16,15,12,12,10,9,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,8,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,7,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,7,9,9,9,,7,12,12,13,11,10,7,6,6,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,3,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,3,6,8,7,,6,7,6,6,9,7,8,11,13,10,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,13,,,,,,,,,,,,,,,,,,,,
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,23,21,,18,18,17,14,12,12,10,9,11,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,11,,,,,,,,,,,,,,,,,,,,
Penn State,Big Ten,11,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,11,17,16,17,,16,16,22,,22,18,19,18,12,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16,9,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,17,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,17,14,12,10,,8,6,11,9,6,6,6,7,7,13,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,10,,,,,,,,,,,,,,,,,,,,
Purdue,Big Ten,16,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,16,15,13,12,,20,20,18,17,13,13,15,16,17,22,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,22,21,,,,,,,,,,,,,,,,,,,,
St. John's (NY),Big East,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,18,,,,,,,,,,,,,,,,,,,,
Georgia Tech,ACC,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22,20,17,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,24,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,24,18,17,13,,11,9,8,11,10,9,11,10,9,8,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,14,,,,,,,,,,,,,,,,,,,,
Georgetown,Big East,14,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,14,21,20,19,,17,15,15,18,19,20,17,14,15,15,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,12,,,,,,,,,,,,,,,,,,,,
Nebraska,Big Ten,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,24,23,19,15,20,19,16,13,16,23,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,25,24,,,,,,,,,,,,,,,,,,,,
Louisville,Big East,9,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,9,11,10,15,,14,14,14,16,18,16,14,20,19,16,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,20,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,12,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,12,10,15,14,,13,17,16,19,15,17,21,21,18,18,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13,16,,,,,,,,,,,,,,,,,,,,
St. Bonaventure,A-10,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,19,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,19,,,,,,,,,,,,,,,,,,,,
Texas A&M,Big 12,6,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,6,5,4,8,,10,10,9,12,14,14,18,15,14,14,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,10,17,,,,,,,,,,,,,,,,,,,,
Rutgers,Big East,15,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,15,13,11,11,,12,11,10,8,7,11,13,17,21,24,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11,23,,,,,,,,,,,,,,,,,,,,
Princeton,Ivy,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,22,20,19,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,18,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,18,23,22,20,,21,21,20,21,21,23,,,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,
BYU,WCC,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC,ACC,19,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,19,16,14,18,,23,24,25,22,24,25,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
Texas Tech,Big 12,25,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,25,19,19,16,,15,13,13,10,17,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,SEC,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,25,23,,25,25,24,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,24,21,25,,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,13,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,13,12,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,20,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,ACC,,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,22,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,21,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,Pac-12,23,,,,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,Big East,1,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,1,1,1,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Stanford,Pac-10,3,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,2,3,,3,3,8,9,4,4,4,4,4,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Baylor,Big 12,2,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,3,2,,2,2,2,2,1,1,1,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Tennessee,SEC,4,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,4,4,,9,8,5,5,5,5,5,5,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Xavier,A-10,5,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,6,5,5,,4,4,4,4,9,8,7,7,7,7,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Duke,ACC,6,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,8,6,6,,5,5,3,3,3,3,3,3,3,5,7,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Texas A&M,Big 12,8,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,5,7,8,,7,7,7,7,7,7,6,6,6,6,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
UCLA,Pac-10,16,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9,8,15,,13,10,9,8,12,10,8,11,10,9,9,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Notre Dame,Big East,12,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,7,9,12,,16,18,17,16,13,12,11,9,8,8,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
DePaul,Big East,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,12,10,,,,24,16,21,16,14,13,12,9,10,10,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,,,,,,,22,17,16,18,20,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,25,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,11,12,25,,25,15,12,12,11,9,12,10,11,11,11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,,,,23,,,,23,21,22,21,18,17,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC,ACC,15,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,19,14,14,,14,12,10,10,8,11,10,15,15,13,12,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Florida State,ACC,18,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,14,15,16,,15,17,22,25,24,21,22,21,19,19,15,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Maryland,ACC,21,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,13,16,21,,22,22,19,18,14,13,15,14,12,12,16,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Kentucky,SEC,9,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,16,17,9,,8,14,11,11,10,19,19,17,16,15,19,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Ohio State,Big Ten,7,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,18,7,,6,6,13,13,20,24,25,24,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Marist,MAAC,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,,,,,,,,,,,,25,24,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,,,,,,,,,,,,,25,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,10,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,18,21,11,,11,13,15,15,19,15,14,13,13,14,14,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Georgetown,Big East,13,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,17,22,13,,12,11,20,19,15,18,16,19,17,16,18,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Georgia Tech,ACC,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,25,25,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,Big East,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24,,,,,,,,,,,23,21,22,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,22,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,24,25,22,,18,19,14,14,21,16,18,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Houston,CUSA,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,20,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,23,,19,,19,16,21,20,17,17,20,23,22,22,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
West Virginia,Big East,11,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,10,,10,9,6,6,6,6,9,8,14,17,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Georgia,SEC,19,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,21,25,,,,,24,20,24,24,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Penn State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,25,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,Big East,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,23,24,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's (NY),Big East,14,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,20,,20,20,18,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
Texas,Big 12,17,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,17,,17,21,,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Boston College,ACC,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,SEC,24,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
Nebraska,Big 12,,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
