Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Ball State,MAC,25,6,0.806,,16,2,0.889,,77.9,67.1,,9.98,-0.89,,,,,,
2,Miami (OH),MAC,25,6,0.806,,16,2,0.889,,69.6,59.7,,7.83,-2.11,,,,,,
3,Massachusetts,MAC,23,6,0.793,,15,3,0.833,,69.3,60.1,,5.66,-3.48,,,,,,
4,Central Michigan,MAC,18,11,0.621,,12,6,0.667,,69.6,66.3,,3.28,-0.04,,,,,,
5,Ohio,MAC,17,12,0.586,,11,7,0.611,,73.7,70.8,,0.59,-2.3,,,,,,
6,Bowling Green,MAC,17,13,0.567,,9,9,0.5,,65.3,68.2,,-3.27,-0.43,,,,,,
7,Toledo,MAC,15,14,0.517,,9,9,0.5,,64.8,63.3,,-0.46,-1.96,,,,,,
8,Kent State,MAC,15,15,0.5,,9,9,0.5,,67.3,69.2,,-1.1,0.83,,,,,,
9,Eastern Michigan,MAC,13,16,0.448,,6,12,0.333,,66.4,68.5,,-3.35,-1.17,,,,,,
10,Western Michigan,MAC,9,20,0.31,,5,13,0.278,,55.8,65.0,,-9.99,-0.78,,,,,,
11,Northern Illinois,MAC,7,23,0.233,,4,14,0.222,,57.5,68.9,,-14.58,-3.18,,,,,,
12,Akron,MAC,7,24,0.226,,4,14,0.222,,66.9,79.7,,-12.47,0.36,,,,,,
13,Buffalo,MAC,3,27,0.1,,1,17,0.056,,58.7,71.8,,-15.2,-2.03,,,,,,
